Order_ID,Customer_ID,Date,Customer_Age,Gender,City,Department,Product,Category,Quantity,Unit_Price,Discount_Percent,Payment_Method,Order_Status,Rating,Delivery_Days,Employee_Experience,Gross_Amount,Discount_Amount,Net_Amount
ORD10022,CUST1022,2024-01-20,55.0,Female,Sialkot,Operations,Headphones,Office,3,228792.88,5.92,EasyPaisa,Completed,1.0,11.0,15,686378.64,40633.62,645745.02
ORD10023,CUST1023,2024-01-21,19.0,Female,Peshawar,Finance,Phone,Electronics,1,211047.91,2.93,Bank Transfer,Completed,3.4,7.0,5,211047.91,6183.7,204864.21
ORD10024,CUST1024,2024-01-22,38.0,Male,Peshawar,HR,Webcam,Electronics,4,185701.91,5.01,EasyPaisa,Completed,4.7,6.0,3,742807.64,37214.66,705592.98
ORD10025,CUST1025,2024-01-23,,Male,Rawalpindi,Finance,Printer,Accessories,3,42369.74,27.71,EasyPaisa,Returned,2.2,5.0,12,127109.22,35221.96,91887.26
ORD10026,CUST1026,2024-01-24,29.0,Female,Karachi,Operations,Printer,Accessories,6,30530.71,24.64,Cash,Pending,1.7,8.0,3,183184.26,45136.6,138047.66
ORD10027,CUST1027,2024-01-25,39.0,Female,Rawalpindi,IT,Headphones,Accessories,6,17367.38,10.62,Card,Returned,3.6,5.0,1,104204.28,11066.49,93137.79
ORD10028,CUST1028,2024-01-26,61.0,Female,Multan,Operations,Monitor,Accessories,6,181145.28,19.67,EasyPaisa,Completed,3.9,11.0,2,1086871.68,213787.66,873084.02
ORD10029,CUST1029,2024-01-27,42.0,Male,Islamabad,IT,Phone,Electronics,7,232237.59,16.12,EasyPaisa,Completed,3.8,2.0,14,1625663.13,262056.9,1363606.23
ORD10030,CUST1030,2024-01-28,44.0,Female,Lahore,Sales,Tablet,Office,5,107918.69,20.31,Cash,Completed,2.3,6.0,6,539593.45,109591.43,430002.02
ORD10031,CUST1031,2024-01-29,59.0,Female,Gujranwala,Marketing,Mouse,Office,3,30225.6,20.48,Card,Pending,2.0,14.0,2,90676.8,18570.61,72106.19
ORD10032,CUST1032,2024-01-30,45.0,Female,Faisalabad,Operations,Keyboard,Office,4,128342.01,18.86,JazzCash,Completed,4.8,12.0,12,513368.04,96821.21,416546.83
ORD10033,CUST1033,2024-01-31,33.0,Male,Faisalabad,Finance,Printer,Office,3,87533.56,7.98,JazzCash,Completed,4.7,1.0,4,262600.68,20955.53,241645.15
ORD10034,CUST1034,2024-02-01,32.0,Male,Rawalpindi,Sales,Mouse,Accessories,5,94018.82,1.17,Card,Pending,2.8,5.0,9,470094.1,5500.1,464594.0
ORD10035,CUST1035,2024-02-02,64.0,Male,Multan,Marketing,Mouse,Accessories,1,155521.99,13.67,Bank Transfer,Completed,4.4,14.0,5,155521.99,21259.86,134262.13
ORD10036,CUST1036,2024-02-03,61.0,Male,Islamabad,Finance,Laptop,Accessories,5,179820.17,26.73,Cash,Completed,2.8,6.0,5,899100.85,240329.66,658771.19
ORD10037,CUST1037,2024-02-03,20.0,Male,Sialkot,HR,Monitor,Office,6,28095.6,17.08,Card,Completed,2.7,7.0,13,168573.6,28792.37,139781.23
ORD10038,CUST1038,2024-02-04,54.0,Male,Faisalabad,Finance,Keyboard,Accessories,7,9379.76,24.97,JazzCash,Completed,1.6,14.0,3,65658.32,16394.88,49263.44
ORD10039,CUST1039,2024-02-05,24.0,Male,Islamabad,IT,Tablet,Accessories,1,248585.41,29.75,EasyPaisa,Pending,2.7,2.0,5,248585.41,73954.16,174631.25
ORD10040,CUST1040,2024-02-06,38.0,Male,Lahore,IT,Webcam,Electronics,7,58565.72,4.91,JazzCash,Completed,3.1,1.0,2,409960.04,20129.04,389831.0
ORD10041,CUST1041,2024-02-07,26.0,Female,Burewala,HR,Laptop,Electronics,6,13930.72,20.75,EasyPaisa,Completed,1.1,6.0,6,83584.32,17343.75,66240.57
ORD10042,CUST1042,2024-02-08,56.0,Female,Multan,Sales,Mouse,Accessories,2,47873.89,20.23,Cash,Completed,2.8,3.0,6,95747.78,19369.78,76378.0
ORD10043,CUST1043,2024-02-09,35.0,Male,Karachi,Marketing,Mouse,Electronics,5,10219.98,29.4,EasyPaisa,Completed,4.1,5.0,3,51099.9,15023.37,36076.53
ORD10044,CUST1044,2024-02-10,21.0,Male,Islamabad,Finance,Smartwatch,Electronics,5,98256.82,,Card,Completed,3.7,12.0,1,491284.1,145272.71,346011.39
ORD10045,CUST1045,2024-02-11,42.0,Female,Lahore,IT,Keyboard,Accessories,4,200699.25,20.6,EasyPaisa,Completed,3.5,,10,802797.0,165376.18,637420.82
ORD10046,CUST1046,2024-02-12,31.0,Male,Sialkot,Sales,Keyboard,Accessories,3,85640.49,,Bank Transfer,Completed,4.6,13.0,6,256921.47,18780.96,238140.51
ORD10047,CUST1047,2024-02-13,26.0,Male,Gujranwala,HR,Smartwatch,Accessories,1,111323.76,23.96,Card,Completed,1.1,2.0,2,111323.76,26673.17,84650.59
ORD10048,CUST1048,2024-02-14,43.0,Male,Karachi,Operations,Keyboard,Accessories,7,169058.9,3.21,Cash,Completed,3.2,1.0,14,1183412.3,37987.53,1145424.77
ORD10049,CUST1049,2024-02-15,19.0,Female,Gujranwala,IT,Mouse,Office,1,127469.07,23.42,Card,Completed,4.1,1.0,0,127469.07,29853.26,97615.81
ORD10050,CUST1050,2024-02-16,37.0,Female,Sialkot,HR,Printer,Office,4,215430.7,27.31,Bank Transfer,Cancelled,3.2,13.0,1,861722.8,235336.5,626386.3
ORD10051,CUST1051,2024-02-17,45.0,Female,Lahore,Finance,Phone,Accessories,4,216575.9,11.49,Cash,Completed,2.3,11.0,9,866303.6,99538.28,766765.32
ORD10052,CUST1052,2024-02-18,64.0,Female,Faisalabad,Marketing,Mouse,Electronics,7,2972.72,18.92,JazzCash,Pending,1.5,4.0,15,20809.04,3937.07,16871.97
ORD10053,CUST1053,2024-02-19,24.0,Female,Gujranwala,IT,Laptop,Accessories,3,194622.55,12.9,Bank Transfer,Completed,4.6,10.0,8,583867.65,75318.93,508548.72
ORD10054,CUST1054,2024-02-19,61.0,Male,Karachi,IT,Monitor,Accessories,7,115453.03,13.13,Cash,Completed,2.9,13.0,11,808171.21,106112.88,702058.33
ORD10055,CUST1055,2024-02-20,25.0,Female,Rawalpindi,Finance,Smartwatch,Electronics,7,247215.72,9.31,EasyPaisa,Completed,4.5,2.0,14,1730510.04,161110.48,1569399.56
ORD10056,CUST1056,2024-02-21,64.0,Male,Peshawar,Operations,Tablet,Office,6,121066.4,22.86,Card,Completed,3.3,1.0,7,726398.4,166054.67,560343.73
ORD10057,CUST1057,2024-02-22,52.0,Male,Islamabad,Sales,Webcam,Accessories,3,246730.54,28.09,Cash,Completed,,6.0,14,740191.62,207919.83,532271.79
ORD10058,CUST1058,2024-02-23,31.0,Female,Faisalabad,Marketing,Tablet,Accessories,5,188765.06,28.22,Card,Completed,4.2,14.0,14,943825.3,266347.5,677477.8
ORD10059,CUST1059,2024-02-24,34.0,Female,Gujranwala,IT,Mouse,Office,6,62526.92,5.24,EasyPaisa,Returned,3.6,4.0,13,375161.52,19658.46,355503.06
ORD10060,CUST1060,2024-02-25,53.0,Male,Burewala,Marketing,Laptop,Office,2,134829.55,26.24,Cash,Completed,2.6,10.0,5,269659.1,70758.55,198900.55
ORD10061,CUST1061,2024-02-26,57.0,Male,Islamabad,IT,Mouse,Electronics,3,248037.84,22.12,JazzCash,Completed,3.1,13.0,13,744113.52,164597.91,579515.61
ORD10062,CUST1062,2024-02-27,21.0,Male,Rawalpindi,Marketing,Monitor,Office,4,214453.89,7.59,Bank Transfer,Pending,4.2,12.0,5,857815.56,65108.2,792707.36
ORD10063,CUST1063,2024-02-28,19.0,Female,Sialkot,HR,Printer,Office,6,24793.04,2.02,Cash,Completed,2.5,7.0,13,148758.24,3004.92,145753.32
ORD10064,CUST1064,2024-02-29,23.0,Female,Peshawar,IT,Webcam,Office,3,176739.81,,EasyPaisa,Pending,2.6,11.0,0,530219.43,42629.64,487589.79
ORD10065,CUST1065,2024-03-01,59.0,Female,Lahore,Marketing,Monitor,Electronics,1,86722.11,27.37,Cash,Completed,1.4,6.0,1,86722.11,23735.84,62986.27
ORD10066,CUST1066,2024-03-02,21.0,Female,Rawalpindi,Sales,Smartwatch,Office,7,2242.07,19.0,Card,Returned,4.7,5.0,3,15694.49,2981.95,12712.54
ORD10067,CUST1067,2024-03-03,46.0,Female,Rawalpindi,HR,Smartwatch,Office,2,101168.5,21.63,Cash,Completed,1.4,10.0,2,202337.0,43765.49,158571.51
ORD10068,CUST1068,2024-03-04,35.0,Male,Sialkot,HR,Mouse,Electronics,5,59071.23,7.71,JazzCash,Completed,3.6,12.0,13,295356.15,22771.96,272584.19
ORD10069,CUST1069,2024-03-05,43.0,Female,Multan,Sales,Laptop,Office,7,204807.88,21.58,Cash,Completed,2.7,13.0,0,1433655.16,309382.78,1124272.38
ORD10070,CUST1070,2024-03-06,61.0,Male,Sialkot,Marketing,Monitor,Office,1,84663.99,0.84,Bank Transfer,Completed,2.6,12.0,15,84663.99,711.18,83952.81
ORD10071,CUST1071,2024-03-07,51.0,Male,Multan,Finance,Headphones,Electronics,1,206967.16,11.26,Cash,Completed,3.7,12.0,7,206967.16,23304.5,183662.66
ORD10072,CUST1072,2024-03-07,27.0,Male,Multan,Sales,Laptop,Accessories,2,649.19,18.8,Card,Completed,1.3,12.0,6,1298.38,244.1,1054.28
ORD10073,CUST1073,2024-03-08,53.0,Female,Faisalabad,Marketing,Printer,Electronics,5,77300.88,4.38,Cash,Completed,3.4,2.0,3,386504.4,16928.89,369575.51
ORD10074,CUST1074,2024-03-09,31.0,Female,Faisalabad,Sales,Smartwatch,Office,4,60670.72,24.69,JazzCash,Completed,4.1,5.0,15,242682.88,59918.4,182764.48
ORD10075,CUST1075,2024-03-10,48.0,Female,Karachi,Sales,Mouse,Office,6,58775.06,7.05,EasyPaisa,Pending,4.3,9.0,11,352650.36,24861.85,327788.51
ORD10076,CUST1076,2024-03-11,65.0,Male,Gujranwala,IT,Keyboard,Office,5,17512.56,19.57,Cash,Pending,1.7,9.0,11,87562.8,17136.04,70426.76
ORD10077,CUST1077,2024-03-12,32.0,Male,Gujranwala,Marketing,Smartwatch,Electronics,3,47187.51,12.16,Cash,Completed,4.6,2.0,8,141562.53,17214.0,124348.53
ORD10078,CUST1078,2024-03-13,25.0,Male,Lahore,Finance,Webcam,Office,1,139109.62,17.88,Bank Transfer,Completed,3.6,7.0,10,139109.62,24872.8,114236.82
ORD10079,CUST1079,2024-03-14,31.0,Male,Gujranwala,IT,Phone,Office,3,73194.59,3.22,JazzCash,Pending,4.5,10.0,13,219583.77,7070.6,212513.17
ORD10080,CUST1080,2024-03-15,40.0,Male,Faisalabad,Sales,Keyboard,Electronics,4,104640.0,0.51,EasyPaisa,Completed,2.9,14.0,3,418560.0,2134.66,416425.34
ORD10081,CUST1081,2024-03-16,57.0,Male,Karachi,Operations,Mouse,Accessories,3,94528.29,27.29,Card,Cancelled,3.2,4.0,0,283584.87,77390.31,206194.56
ORD10082,CUST1082,2024-03-17,38.0,Female,Karachi,Sales,Headphones,Accessories,5,219038.28,8.09,Cash,Cancelled,4.7,13.0,14,1095191.4,88600.98,1006590.42
ORD10083,CUST1083,2024-03-18,33.0,Female,Multan,Sales,Keyboard,Office,3,226372.1,24.59,EasyPaisa,Completed,4.6,13.0,9,679116.3,166994.7,512121.6
ORD10084,CUST1084,2024-03-19,62.0,Female,Sialkot,Marketing,Webcam,Electronics,4,123492.76,29.98,Card,Pending,2.8,3.0,14,493971.04,148092.52,345878.52
ORD10085,CUST1085,2024-03-20,35.0,Female,Lahore,Marketing,Laptop,Office,4,82873.91,6.34,JazzCash,Completed,2.1,11.0,0,331495.64,21016.82,310478.82
ORD10086,CUST1086,2024-03-21,64.0,Male,Multan,IT,Headphones,Electronics,4,27146.78,7.96,JazzCash,Completed,2.6,1.0,0,108587.12,8643.53,99943.59
ORD10087,CUST1087,2024-03-22,41.0,Male,Sialkot,Finance,Smartwatch,Electronics,5,238374.02,19.89,EasyPaisa,Completed,2.6,3.0,0,1191870.1,237062.96,954807.14
ORD10088,CUST1088,2024-03-23,43.0,Female,Gujranwala,IT,Headphones,Accessories,4,15526.62,28.96,Card,Completed,2.1,11.0,3,62106.48,17986.04,44120.44
ORD10089,CUST1089,2024-03-23,,Male,Multan,HR,Monitor,Accessories,1,74763.74,27.47,JazzCash,Pending,2.1,9.0,0,74763.74,20537.6,54226.14
ORD10090,CUST1090,2024-03-24,62.0,Female,Islamabad,Sales,Webcam,Electronics,7,74867.52,15.09,EasyPaisa,Completed,4.4,14.0,1,524072.64,79082.56,444990.08
ORD10091,CUST1091,2024-03-25,58.0,Female,Gujranwala,Operations,Keyboard,Office,4,80440.12,23.85,JazzCash,Completed,1.3,9.0,3,321760.48,76739.87,245020.61
ORD10092,CUST1092,2024-03-26,46.0,Female,Sialkot,Sales,Monitor,Accessories,3,41489.57,4.07,JazzCash,Completed,3.7,7.0,6,124468.71,5065.88,119402.83
ORD10093,CUST1093,2024-03-27,32.0,Male,Lahore,Sales,Headphones,Office,6,195898.78,29.32,JazzCash,Completed,1.7,3.0,1,1175392.68,344625.13,830767.55
ORD10094,CUST1094,2024-03-28,62.0,Female,Sialkot,IT,Monitor,Accessories,3,31063.22,28.93,Bank Transfer,Cancelled,2.4,13.0,7,93189.66,26959.77,66229.89
ORD10095,CUST1095,2024-03-29,18.0,Female,Multan,Operations,Tablet,Accessories,6,158909.21,4.91,Card,Completed,1.2,3.0,12,953455.26,46814.65,906640.61
ORD10096,CUST1096,2024-03-30,42.0,Female,Multan,Operations,Webcam,Office,3,31399.58,8.98,EasyPaisa,Completed,2.1,4.0,6,94198.74,8459.05,85739.69
ORD10097,CUST1097,2024-03-31,24.0,Male,Rawalpindi,Operations,Printer,Accessories,5,18098.64,3.0,EasyPaisa,Completed,4.1,7.0,8,90493.2,2714.8,87778.4
ORD10098,CUST1098,2024-04-01,26.0,Male,Lahore,IT,Laptop,Accessories,3,227402.66,8.15,Card,Completed,4.5,7.0,13,682207.98,55599.95,626608.03
ORD10099,CUST1099,2024-04-02,41.0,Female,Burewala,Sales,Headphones,Office,5,47937.13,24.48,Card,Completed,1.9,12.0,5,239685.65,58675.05,181010.6
ORD10100,CUST1100,2024-04-03,18.0,Male,Gujranwala,IT,Webcam,Accessories,5,205401.91,11.35,Card,Completed,2.9,12.0,3,1027009.55,116565.58,910443.97
ORD10101,CUST1101,2024-04-04,61.0,Male,Karachi,Marketing,Printer,Accessories,4,136385.4,2.65,Card,Completed,2.9,14.0,5,545541.6,14456.85,531084.75
ORD10102,CUST1102,2024-04-05,25.0,Male,Lahore,Marketing,Printer,Accessories,1,19925.2,10.27,Cash,Completed,4.5,2.0,14,19925.2,2046.32,17878.88
ORD10103,CUST1103,2024-04-06,41.0,Male,Karachi,IT,Mouse,Office,6,238884.32,29.44,EasyPaisa,Pending,4.1,12.0,3,1433305.92,421965.26,1011340.66
ORD10104,CUST1104,2024-04-07,28.0,Male,Lahore,Operations,Monitor,Electronics,4,62116.81,18.89,Cash,Completed,3.1,5.0,6,248467.24,46935.46,201531.78
ORD10105,CUST1105,2024-04-08,34.0,Male,Lahore,Sales,Printer,Office,4,214981.51,12.48,JazzCash,Completed,3.7,7.0,8,859926.04,107318.77,752607.27
ORD10106,CUST1106,2024-04-09,25.0,Male,Sialkot,IT,Tablet,Electronics,7,42618.1,5.0,JazzCash,Completed,4.4,7.0,2,298326.7,14916.34,283410.36
ORD10107,CUST1107,2024-04-09,52.0,Male,Lahore,IT,Webcam,Accessories,5,213558.75,29.59,EasyPaisa,Pending,1.0,6.0,2,1067793.75,315960.17,751833.58
ORD10108,CUST1108,2024-04-10,52.0,Male,Rawalpindi,IT,Phone,Electronics,5,3800.59,24.63,JazzCash,Pending,2.6,10.0,1,19002.95,4680.43,14322.52
ORD10109,CUST1109,2024-04-11,50.0,Male,Burewala,HR,Phone,Office,6,128189.22,8.44,Card,Cancelled,4.6,10.0,0,769135.32,64915.02,704220.3
ORD10110,CUST1110,2024-04-12,22.0,Female,Multan,Marketing,Headphones,Office,3,192475.92,2.1,Cash,Completed,4.0,12.0,13,577427.76,12125.98,565301.78
ORD10111,CUST1111,2024-04-13,59.0,Female,Peshawar,Operations,Smartwatch,Accessories,3,233731.48,1.7,Card,Returned,3.2,8.0,0,701194.44,11920.31,689274.13
ORD10112,CUST1112,2024-04-14,56.0,Male,Karachi,Finance,Monitor,Electronics,4,227345.93,3.61,JazzCash,Completed,3.1,3.0,12,909383.72,32828.75,876554.97
ORD10113,CUST1113,2024-04-15,58.0,Female,Multan,Operations,Smartwatch,Accessories,2,204996.4,17.42,Cash,Completed,2.4,1.0,2,409992.8,71420.75,338572.05
ORD10114,CUST1114,2024-04-16,45.0,Female,Peshawar,Finance,Printer,Accessories,2,222103.74,27.86,Card,Returned,3.1,3.0,13,444207.48,123756.2,320451.28
ORD10115,CUST1115,2024-04-17,24.0,Male,Burewala,HR,Webcam,Office,3,50205.31,14.9,EasyPaisa,Completed,3.6,11.0,6,150615.93,22441.77,128174.16
ORD10116,CUST1116,2024-04-18,26.0,Male,Burewala,IT,Headphones,Electronics,2,71403.98,25.29,Card,Completed,2.7,2.0,14,142807.96,36116.13,106691.83
ORD10117,CUST1117,2024-04-19,25.0,Male,Karachi,HR,Keyboard,Electronics,7,72597.65,13.38,JazzCash,Completed,3.9,2.0,10,508183.55,67994.96,440188.59
ORD10118,CUST1118,2024-04-20,29.0,Female,Karachi,HR,Printer,Electronics,3,94574.96,21.26,Cash,Completed,4.4,14.0,8,283724.88,60319.91,223404.97
ORD10119,CUST1119,2024-04-21,51.0,Female,Burewala,Sales,Monitor,Electronics,5,98633.51,21.96,EasyPaisa,Cancelled,1.6,14.0,13,493167.55,108299.59,384867.96
ORD10120,CUST1120,2024-04-22,50.0,Male,Peshawar,Marketing,Phone,Accessories,4,136366.55,5.22,Cash,Completed,2.8,2.0,1,545466.2,28473.34,516992.86
ORD10121,CUST1121,2024-04-23,65.0,Male,Lahore,Finance,Mouse,Accessories,1,40390.0,10.84,EasyPaisa,Completed,2.6,5.0,6,40390.0,4378.28,36011.72
ORD10122,CUST1122,2024-04-24,40.0,Male,Gujranwala,IT,Webcam,Office,4,172966.04,19.12,Cash,Completed,3.7,13.0,0,691864.16,132284.43,559579.73
ORD10123,CUST1123,2024-04-25,41.0,Female,Islamabad,Finance,Laptop,Accessories,3,42307.85,2.12,JazzCash,Completed,2.0,1.0,1,126923.55,2690.78,124232.77
ORD10124,CUST1124,2024-04-25,54.0,Female,Multan,Operations,Smartwatch,Accessories,7,77921.97,10.85,EasyPaisa,Completed,3.6,10.0,15,545453.79,59181.74,486272.05
ORD10125,CUST1125,2024-04-26,52.0,Female,Sialkot,Finance,Headphones,Office,3,126084.61,16.04,Bank Transfer,Completed,4.5,4.0,5,378253.83,60671.91,317581.92
ORD10126,CUST1126,2024-04-27,61.0,Female,Multan,Operations,Smartwatch,Office,4,199211.92,29.89,Cash,Completed,2.7,14.0,10,796847.68,238177.77,558669.91
ORD10127,CUST1127,2024-04-28,57.0,Male,Sialkot,Marketing,Webcam,Office,7,184997.57,14.24,Cash,Completed,4.6,10.0,15,1294982.99,184405.58,1110577.41
ORD10128,CUST1128,2024-04-29,39.0,Male,Peshawar,Operations,Smartwatch,Accessories,7,161560.82,24.48,Card,Cancelled,5.0,5.0,4,1130925.74,276850.62,854075.12
ORD10129,CUST1129,2024-04-30,44.0,Male,Sialkot,Finance,Webcam,Accessories,7,39365.43,12.96,EasyPaisa,Completed,1.4,2.0,7,275558.01,35712.32,239845.69
ORD10130,CUST1130,2024-05-01,52.0,Male,Karachi,Finance,Smartwatch,Office,6,136987.81,23.89,Bank Transfer,Completed,1.9,5.0,11,821926.86,196358.33,625568.53
ORD10131,CUST1131,2024-05-02,18.0,Female,Gujranwala,Operations,Tablet,Office,3,22317.9,17.86,JazzCash,Completed,4.8,10.0,10,66953.7,11957.93,54995.77
ORD10132,CUST1132,2024-05-03,52.0,Female,Gujranwala,HR,Keyboard,Office,2,94652.11,26.6,Card,Completed,4.8,4.0,1,189304.22,50354.92,138949.3
ORD10133,CUST1133,2024-05-04,54.0,Male,Karachi,Marketing,Printer,Accessories,2,103672.37,12.33,Bank Transfer,Pending,1.4,8.0,0,207344.74,25565.61,181779.13
ORD10134,CUST1134,2024-05-05,64.0,Male,Rawalpindi,Sales,Printer,Accessories,3,10432.95,18.13,EasyPaisa,Returned,1.1,1.0,15,31298.85,5674.48,25624.37
ORD10135,CUST1135,2024-05-06,31.0,Female,Peshawar,IT,Monitor,Electronics,3,68860.03,18.9,Bank Transfer,Completed,1.6,12.0,6,206580.09,39043.64,167536.45
ORD10136,CUST1136,2024-05-07,20.0,Male,Rawalpindi,Finance,Laptop,Accessories,6,238934.54,12.52,Cash,Cancelled,5.0,5.0,5,1433607.24,179487.63,1254119.61
ORD10137,CUST1137,2024-05-08,18.0,Female,Rawalpindi,IT,Laptop,Accessories,2,238431.34,,Cash,Completed,1.7,14.0,7,476862.68,20648.15,456214.53
ORD10138,CUST1138,2024-05-09,22.0,Male,Multan,Sales,Monitor,Accessories,3,88405.6,2.81,Card,Completed,3.0,14.0,10,265216.8,7452.59,257764.21
ORD10139,CUST1139,2024-05-10,43.0,Male,Burewala,IT,Mouse,Office,3,11253.48,0.5,EasyPaisa,Completed,,11.0,14,33760.44,168.8,33591.64
ORD10140,CUST1140,2024-05-11,31.0,Male,Multan,Sales,Printer,Accessories,6,45184.19,26.21,EasyPaisa,Completed,1.1,12.0,14,271105.14,71056.66,200048.48
ORD10141,CUST1141,2024-05-12,56.0,Male,Burewala,Operations,Mouse,Office,6,98358.34,7.09,Bank Transfer,Completed,3.4,10.0,12,590150.04,41841.64,548308.4
ORD10142,CUST1142,2024-05-12,44.0,Male,Islamabad,HR,Webcam,Electronics,4,236971.03,6.35,Card,Cancelled,2.1,1.0,13,947884.12,60190.64,887693.48
ORD10143,CUST1143,2024-05-13,26.0,Male,Sialkot,Finance,Webcam,Electronics,6,35729.17,22.08,EasyPaisa,Completed,4.4,10.0,7,214375.02,47334.0,167041.02
ORD10144,CUST1144,2024-05-14,32.0,Male,Burewala,Sales,Phone,Office,1,190997.2,9.6,Cash,Cancelled,2.1,10.0,1,190997.2,18335.73,172661.47
ORD10145,CUST1145,2024-05-15,32.0,Female,Karachi,IT,Smartwatch,Office,2,27616.29,15.18,Bank Transfer,Pending,3.7,4.0,13,55232.58,8384.31,46848.27
ORD10146,CUST1146,2024-05-16,43.0,Female,Multan,Finance,Laptop,Office,4,245323.77,4.88,JazzCash,Completed,3.7,8.0,7,981295.08,47887.2,933407.88
ORD10147,CUST1147,2024-05-17,59.0,Female,Peshawar,HR,Phone,Accessories,1,95713.32,28.79,Cash,Completed,1.9,1.0,5,95713.32,27555.86,68157.46
ORD10148,CUST1148,2024-05-18,30.0,Female,Sialkot,Operations,Keyboard,Electronics,3,193921.02,25.55,Card,Completed,1.1,11.0,8,581763.06,148640.46,433122.6
ORD10149,CUST1149,2024-05-19,49.0,Female,Islamabad,Finance,Monitor,Office,3,85976.48,25.91,EasyPaisa,Returned,2.6,2.0,11,257929.44,66829.52,191099.92
ORD10150,CUST1150,2024-05-20,56.0,Male,Burewala,Sales,Monitor,Accessories,4,157103.38,12.2,Cash,Completed,2.2,1.0,15,628413.52,76666.45,551747.07
ORD10151,CUST1151,2024-05-21,49.0,Male,Islamabad,HR,Webcam,Electronics,6,48408.01,22.87,JazzCash,Completed,4.2,11.0,6,290448.06,66425.47,224022.59
ORD10152,CUST1152,2024-05-22,21.0,Female,Peshawar,IT,Printer,Accessories,7,36932.24,4.32,JazzCash,Completed,4.2,7.0,1,258525.68,11168.31,247357.37
